Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
121,Sunday Aug 21,boxscore,PIT,,CIN,L,5,9,,47-74,5,22.5,Minor,Thompson,,3:22,D,15046,.00,--,
122,Monday Aug 22,boxscore,PIT,,ATL,L,1,2,,47-75,5,23.5,Odorizzi,Contreras,Jansen,2:40,N,11231,.00,---,
123,Tuesday Aug 23,boxscore,PIT,,ATL,L,1,6,,47-76,5,24.0,Fried,Brubaker,,2:15,N,13367,.00,----,
124,Wednesday Aug 24,boxscore,PIT,,ATL,L,2,14,,47-77,5,24.0,Wright,Keller,,3:08,D,12060,.00,-----,
125,Friday Aug 26,boxscore,PIT,@,PHI,L,4,7,,47-78,5,24.5,Falter,Wilson,Hand,2:55,N,30546,.00,------,
126,Saturday Aug 27,boxscore,PIT,@,PHI,L,0,6,,47-79,5,25.5,Gibson,Beede,,2:59,N,37105,.00,-------,
127,Sunday Aug 28,boxscore,PIT,@,PHI,W,5,0,,48-79,5,25.5,Contreras,Syndergaard,,2:51,D,30355,.00,+,
128,Monday Aug 29,boxscore,PIT,@,MIL,L-wo,5,7,,48-80,5,26.5,Williams,Crowe,,3:32,N,23009,.00,-,
129,Tuesday Aug 30,boxscore,PIT,@,MIL,W,4,2,,49-80,5,25.5,Banuelos,Boxberger,De Jong,2:43,N,24764,.00,+,
130,Wednesday Aug 31,boxscore,PIT,@,MIL,L,1,6,,49-81,5,26.5,Rogers,Yajure,,3:16,D,25240,.00,-,
131,Friday Sep 2,boxscore,PIT,,TOR,L,0,4,,49-82,5,27.5,Manoah,Beede,,3:24,N,18057,.00,--,
132,Saturday Sep 3,boxscore,PIT,,TOR,L,1,4,,49-83,5,28.5,Garcia,Underwood,Romano,3:06,N,23568,.00,---,
133,Sunday Sep 4,boxscore,PIT,,TOR,L,3,4,,49-84,5,29.5,Stripling,Underwood,Romano,3:02,D,14903,.00,----,
134,Tuesday Sep 6,boxscore,PIT,,NYM,W,8,2,,50-84,5,29.0,Keller,Walker,,3:10,N,8817,.00,+,
135,Wednesday Sep 7 (1),boxscore,PIT,,NYM,L,1,5,,50-85,5,30.5,Bassitt,Underwood,,2:36,D,8717,.00,-,
136,Wednesday Sep 7 (2),boxscore,PIT,,NYM,L,0,10,,50-86,5,30.5,deGrom,Oviedo,,3:17,N,9824,.00,--,
137,Friday Sep 9,boxscore,PIT,,STL,W,8,2,,51-86,5,29.0,Contreras,Mikolas,,3:12,N,15718,.00,+,
138,Saturday Sep 10,boxscore,PIT,,STL,L,5,7,,51-87,5,30.0,Gallegos,Crowe,Helsley,3:14,N,22042,.00,-,
139,Sunday Sep 11,boxscore,PIT,,STL,L,3,4,,51-88,5,31.0,Stratton,De Jong,Helsley,2:40,D,10398,.00,--,
140,Monday Sep 12,boxscore,PIT,@,CIN,W,6,3,,52-88,5,30.5,Wilson,Minor,Crowe,2:54,N,12083,.00,+,
141,Tuesday Sep 13 (1),boxscore,PIT,@,CIN,W,6,1,,53-88,5,29.0,Oviedo,Cessa,,2:56,D,9338,.00,++,
142,Tuesday Sep 13 (2),boxscore,PIT,@,CIN,W,1,0,,54-88,5,29.0,De Jong,Espinal,Underwood,2:32,N,13156,.00,+++,
143,Wednesday Sep 14,boxscore,PIT,@,CIN,W,10,4,,55-88,5,29.0,Beede,Lodolo,Yajure,3:05,D,11449,.00,++++,
144,Thursday Sep 15,boxscore,PIT,@,NYM,L,1,7,,55-89,5,29.0,Carrasco,Brubaker,,2:53,N,25683,.00,-,
145,Friday Sep 16,boxscore,PIT,@,NYM,L,3,4,,55-90,5,30.0,Walker,Keller,Díaz,2:39,N,28928,.00,--,
146,Saturday Sep 17,boxscore,PIT,@,NYM,L,1,5,,55-91,5,31.5,Bassitt,Wilson,,3:06,N,40111,.00,---,
147,Sunday Sep 18,boxscore,PIT,@,NYM,L,3,7,,55-92,5,31.5,Rodríguez,Stephenson,,3:29,D,36291,.00,----,
148,Tuesday Sep 20,boxscore,PIT,@,NYY,L-wo,8,9,,55-93,5,31.5,Chapman,Crowe,,3:33,N,40157,.00,-----,
149,Wednesday Sep 21,boxscore,PIT,@,NYY,L,2,14,,55-94,5,31.5,Severino,Contreras,,2:51,N,46175,.00,------,
150,Thursday Sep 22,boxscore,PIT,,CHC,L,2,3,,55-95,5,32.5,Wesneski,Keller,Leiter,3:04,N,9166,.00,-------,
151,Friday Sep 23,boxscore,PIT,,CHC,L,5,6,,55-96,5,33.5,Rodríguez,Ramirez,Uelmen,3:33,N,11987,.00,--------,
152,Saturday Sep 24,boxscore,PIT,,CHC,W,6,0,,56-96,5,32.5,Oviedo,Miley,,2:26,N,17273,.00,+,
153,Sunday Sep 25,boxscore,PIT,,CHC,L,3,8,,56-97,5,32.5,Sampson,Ortiz,Hughes,3:08,D,16192,.00,-,
154,Monday Sep 26,boxscore,PIT,,CIN,W,8,3,,57-97,5,32.0,Ramirez,Law,,3:05,N,8766,.00,+,
155,Tuesday Sep 27,boxscore,PIT,,CIN,W,4,1,,58-97,5,32.0,Crowe,Farmer,Bednar,3:01,N,8723,.00,++,
156,Wednesday Sep 28,boxscore,PIT,,CIN,W-wo,4,3,10,59-97,5,31.0,Ramirez,Díaz,,2:37,D,9127,.00,+++,
157,Friday Sep 30,boxscore,PIT,@,STL,L,1,2,,59-98,5,32.0,Flaherty,Oviedo,Helsley,3:01,N,47032,.00,-,
158,Saturday Oct 1,boxscore,PIT,@,STL,L,3,13,,59-99,5,33.0,Montgomery,Ortiz,,3:01,N,46365,.00,--,
159,Sunday Oct 2,boxscore,PIT,@,STL,W,7,5,,60-99,4,32.0,De Jong,Wainwright,Bednar,3:18,D,46680,.00,+,
160,Monday Oct 3,boxscore,PIT,,STL,W-wo,3,2,,61-99,4,31.0,Ramirez,Gallegos,,3:10,N,12702,.00,++,
161,Tuesday Oct 4,boxscore,PIT,,STL,L,7,8,10,61-100,5,32.0,Stratton,De Jong,,3:53,N,12842,.00,-,
162,Wednesday Oct 5,boxscore,PIT,,STL,W,5,3,,62-100,4,31.0,Banuelos,Liberatore,Ramirez,2:42,D,15319,.00,+,
