Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
75,Thursday Jun 30,boxscore,TBR,@,TOR,L,1,4,,40-35,4,15.0,Kikuchi,Yarbrough,Cimber,2:55,N,22987,.91,---,
76,Friday Jul 1,boxscore,TBR,@,TOR,L,2,9,,40-36,4,15.5,Berríos,Kluber,,2:58,D,44445,.89,----,
77,Saturday Jul 2 (1),boxscore,TBR,@,TOR,W,6,2,,41-36,4,15.5,McClanahan,Lawrence,,2:47,D,39426,.88,+,
78,Saturday Jul 2 (2),boxscore,TBR,@,TOR,W,11,5,,42-36,4,15.5,Garza,Hatch,,2:41,N,24180,.92,++,
79,Sunday Jul 3,boxscore,TBR,@,TOR,W,7,3,,43-36,4,14.5,Baz,Stripling,Adam,3:27,D,35757,.98,+++,
80,Monday Jul 4,boxscore,TBR,@,BOS,L,0,4,,43-37,4,15.0,Crawford,Fleming,Schreiber,2:57,D,36473,.96,-,
81,Tuesday Jul 5,boxscore,TBR,@,BOS,W,8,4,,44-37,3,14.0,Thompson,Pivetta,,3:39,N,31113,.95,+,
82,Wednesday Jul 6,boxscore,TBR,@,BOS,W,7,1,,45-37,2,14.0,Kluber,Bello,,3:05,N,33735,.94,++,
83,Friday Jul 8,boxscore,TBR,@,CIN,L-wo,1,2,10,45-38,2,15.5,Kuhnel,Wisler,,3:18,N,26529,.81,-,
84,Saturday Jul 9,boxscore,TBR,@,CIN,L-wo,4,5,10,45-39,3,15.5,Hoffman,Faucher,,4:00,D,33927,.80,--,
85,Sunday Jul 10,boxscore,TBR,@,CIN,L,5,10,,45-40,3,15.5,Lodolo,Baz,,3:19,D,21748,.85,---,
86,Monday Jul 11,boxscore,TBR,,BOS,W,10,5,,46-40,3,15.0,Bard,Diekman,,3:31,N,10629,.96,+,
87,Tuesday Jul 12,boxscore,TBR,,BOS,W,3,2,,47-40,2,14.0,Kluber,Strahm,Raley,2:49,N,10653,.97,++,
88,Wednesday Jul 13,boxscore,TBR,,BOS,W,4,1,,48-40,2,14.0,McClanahan,Winckowski,Poche,2:30,N,10458,1.00,+++,
89,Thursday Jul 14,boxscore,TBR,,BOS,W,5,4,,49-40,2,13.0,Romero,Schreiber,Beeks,2:45,N,11998,1.01,++++,
90,Friday Jul 15,boxscore,TBR,,BAL,W,5,4,,50-40,2,12.0,Wisler,Wells,Raley,3:05,N,13917,.96,+++++,
91,Saturday Jul 16,boxscore,TBR,,BAL,L,4,6,11,50-41,2,13.0,López,Bard,Krehbiel,3:51,D,19886,.98,-,
92,Sunday Jul 17,boxscore,TBR,,BAL,W,7,5,,51-41,2,13.0,Kluber,Lyles,Adam,2:58,D,13813,1.00,+,
93,Friday Jul 22,boxscore,TBR,@,KCR,W,7,3,,52-41,2,12.0,Rasmussen,Keller,,3:21,N,22119,.89,++,
94,Saturday Jul 23,boxscore,TBR,@,KCR,L,3,6,,52-42,2,12.0,Barlow,Yarbrough,,2:58,N,20668,.83,-,
95,Sunday Jul 24,boxscore,TBR,@,KCR,L,2,4,,52-43,3,13.0,Bubic,Raley,Clarke,2:50,D,12336,.88,--,
96,Monday Jul 25,boxscore,TBR,@,BAL,L,1,5,,52-44,3,13.5,Vespi,Kluber,,3:11,N,9606,.96,---,
