Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
78,Monday Jul 4 (1),boxscore,DET,,CLE,W,4,1,,31-47,4,12.0,Hill,Plesac,Soto,2:55,D,19737,.09,+,
79,Monday Jul 4 (2),boxscore,DET,,CLE,W,5,3,,32-47,4,12.0,Alexander,Stephan,Jiménez,2:55,N,24395,.10,++,
80,Tuesday Jul 5,boxscore,DET,,CLE,W,11,4,,33-47,4,12.0,Hutchison,Quantrill,,3:03,N,16662,.12,+++,
81,Wednesday Jul 6,boxscore,DET,,CLE,W,8,2,,34-47,4,11.0,Pineda,Bieber,,3:04,D,17829,.13,++++,
82,Thursday Jul 7,boxscore,DET,@,CHW,W,2,1,,35-47,4,10.5,Brieske,Cease,Soto,3:00,N,21876,.17,+++++,
83,Friday Jul 8,boxscore,DET,@,CHW,W,7,5,,36-47,4,9.5,Skubal,Giolito,Fulmer,2:56,N,29215,.19,++++++,
84,Saturday Jul 9,boxscore,DET,@,CHW,L,0,8,,36-48,4,9.5,Cueto,Hill,,2:35,D,29215,.26,-,
85,Sunday Jul 10,boxscore,DET,@,CHW,L,2,4,,36-49,4,10.5,Graveman,Fulmer,Hendriks,2:46,D,31072,.21,--,
86,Monday Jul 11 (1),boxscore,DET,@,KCR,L,1,3,,36-50,4,11.5,Keller,Pineda,Barlow,2:30,D,11084,.16,---,
87,Monday Jul 11 (2),boxscore,DET,@,KCR,L,3,7,,36-51,4,11.5,Zerpa,Faedo,,3:00,N,16202,.13,----,
88,Tuesday Jul 12,boxscore,DET,@,KCR,W,7,5,,37-51,4,10.5,Brieske,Cuas,Soto,3:08,N,14451,.11,+,
89,Wednesday Jul 13,boxscore,DET,@,KCR,L,2,5,,37-52,4,11.5,Singer,Skubal,Barlow,2:44,D,11016,.14,-,
90,Thursday Jul 14,boxscore,DET,@,CLE,L,0,4,,37-53,4,11.5,McKenzie,Rodriguez,,2:37,N,14327,.11,--,
91,Friday Jul 15,boxscore,DET,@,CLE,L,5,6,,37-54,4,11.5,Shaw,Fulmer,Stephan,2:59,N,27846,.09,---,
92,Saturday Jul 16,boxscore,DET,@,CLE,L,0,10,,37-55,4,12.5,Quantrill,Pineda,,2:46,D,26789,.07,----,
93,Thursday Jul 21 (1),boxscore,DET,@,OAK,W,7,2,,38-55,4,12.0,Skubal,Logue,,2:58,D,,.04,+,
94,Thursday Jul 21 (2),boxscore,DET,@,OAK,L,0,5,,38-56,4,12.0,Acevedo,Hill,,2:45,D,7282,.06,-,
95,Saturday Jul 23,boxscore,DET,,MIN,L,4,8,,38-57,4,13.0,Ryan,Pineda,,3:21,N,34205,.05,--,
96,Sunday Jul 24,boxscore,DET,,MIN,L,1,9,,38-58,5,14.0,Gray,García,,3:10,D,23570,.03,---,
97,Monday Jul 25,boxscore,DET,,SDP,W,12,4,,39-58,5,13.5,Vest,Manaea,,3:09,N,21647,.02,+,
98,Tuesday Jul 26,boxscore,DET,,SDP,L,4,6,10,39-59,5,13.5,Rogers,Soto,Martinez,3:43,N,24213,.02,-,
99,Wednesday Jul 27,boxscore,DET,,SDP,W-wo,4,3,,40-59,4,12.5,Fulmer,Rogers,,3:03,D,24669,.02,+,
100,Thursday Jul 28,boxscore,DET,@,TOR,L,3,5,,40-60,4,13.0,Kikuchi,Alexander,Romano,2:52,N,27080,.02,-,
101,Friday Jul 29,boxscore,DET,@,TOR,W,4,2,,41-60,4,12.0,Vest,Manoah,Soto,3:20,N,28046,.02,+,
102,Saturday Jul 30,boxscore,DET,@,TOR,L,3,5,,41-61,4,13.0,Richards,Law,Romano,2:46,D,42933,.03,-,
103,Sunday Jul 31,boxscore,DET,@,TOR,L,1,4,,41-62,4,13.0,Berríos,Hill,Romano,2:19,D,40298,.02,--,
104,Monday Aug 1,boxscore,DET,@,MIN,L-wo,3,5,10,41-63,5,14.0,Jax,Lange,,3:17,N,20231,.01,---,
105,Tuesday Aug 2,boxscore,DET,@,MIN,W,5,3,,42-63,4,13.0,Foley,Jax,Soto,3:10,N,23394,.01,+,
106,Wednesday Aug 3,boxscore,DET,@,MIN,L,1,4,,42-64,4,14.0,Ryan,Alexander,López,2:40,D,25044,.01,-,
107,Thursday Aug 4,boxscore,DET,,TBR,L,2,6,,42-65,5,14.0,Springs,Hutchison,,2:59,N,16595,.01,--,
108,Friday Aug 5,boxscore,DET,,TBR,L,3,5,,42-66,5,15.0,Beeks,Jiménez,Poche,3:40,N,21547,.01,---,
109,Saturday Aug 6,boxscore,DET,,TBR,W,9,1,,43-66,5,15.0,Hill,McClanahan,,2:54,N,40101,.00,+,
110,Sunday Aug 7,boxscore,DET,,TBR,L,0,7,,43-67,5,15.0,Poche,Soto,,2:50,D,18395,.00,-,
111,Tuesday Aug 9,boxscore,DET,,CLE,L,2,5,,43-68,5,15.0,Bieber,Alexander,Clase,2:41,N,16359,.00,--,
112,Wednesday Aug 10,boxscore,DET,,CLE,L,2,3,,43-69,5,16.0,Shaw,Hutchison,Clase,3:02,N,16560,.00,---,
113,Thursday Aug 11,boxscore,DET,,CLE,L,3,4,10,43-70,5,17.0,De Los Santos,Soto,Shaw,3:37,D,19036,.00,----,
114,Friday Aug 12,boxscore,DET,@,CHW,L,0,2,,43-71,5,18.0,López,Lange,Hendriks,2:53,N,33015,.00,-----,
115,Saturday Aug 13,boxscore,DET,@,CHW,L,4,6,,43-72,5,18.0,Giolito,Jiménez,Hendriks,2:46,N,29458,.00,------,
