Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
87,Sunday Jul 10,boxscore,SEA,,TOR,W,6,5,,45-42,2,12.0,Festa,Cimber,Sewald,2:45,D,37694,1.01,++++++++,
88,Wednesday Jul 13 (1),boxscore,SEA,@,WSN,W,6,4,,46-42,2,11.0,Flexen,Gray,Sewald,2:53,D,16260,.90,+++++++++,
89,Wednesday Jul 13 (2),boxscore,SEA,@,WSN,W,2,1,,47-42,2,11.0,Milone,Fedde,Sewald,2:58,N,19869,.97,++++++++++,
90,Thursday Jul 14,boxscore,SEA,@,TEX,W,6,5,,48-42,2,11.0,Festa,Santana,Castillo,3:20,N,19243,1.08,+++++++++++,
91,Friday Jul 15,boxscore,SEA,@,TEX,W,8,3,,49-42,2,10.0,Ray,Hearn,,3:09,N,26494,1.05,++++++++++++,
92,Saturday Jul 16,boxscore,SEA,@,TEX,W,3,2,10,50-42,2,10.0,Castillo,Martin,Festa,3:22,D,35761,1.12,+++++++++++++,
93,Sunday Jul 17,boxscore,SEA,@,TEX,W,6,2,,51-42,2,9.0,Borucki,Otto,,3:22,D,26378,1.05,++++++++++++++,
94,Friday Jul 22,boxscore,SEA,,HOU,L,2,5,,51-43,2,11.0,Urquidy,Gonzales,Neris,3:04,N,45290,1.18,-,
95,Saturday Jul 23,boxscore,SEA,,HOU,L,1,3,,51-44,2,12.0,Verlander,Gilbert,Abreu,2:46,D,43197,1.11,--,
96,Sunday Jul 24,boxscore,SEA,,HOU,L,5,8,,51-45,2,13.0,Valdez,Ray,Pressly,3:10,D,34827,1.04,---,
97,Monday Jul 25,boxscore,SEA,,TEX,W,4,3,,52-45,2,12.0,Flexen,Otto,Swanson,3:02,N,23581,.96,+,
98,Tuesday Jul 26,boxscore,SEA,,TEX,W-wo,5,4,,53-45,2,11.0,Swanson,Martin,,2:59,N,25837,.97,++,
99,Wednesday Jul 27,boxscore,SEA,,TEX,W,4,2,,54-45,2,10.0,Gonzales,Gray,Festa,2:40,D,25509,.97,+++,
100,Thursday Jul 28,boxscore,SEA,@,HOU,L,2,4,,54-46,2,11.0,Montero,Muñoz,Pressly,2:51,N,29799,1.10,-,
101,Friday Jul 29,boxscore,SEA,@,HOU,L,1,11,,54-47,2,12.0,Verlander,Ray,,3:06,N,38497,1.03,--,
102,Saturday Jul 30,boxscore,SEA,@,HOU,W,5,4,,55-47,2,11.0,Swanson,Pressly,Sewald,3:28,N,37385,1.00,+,
103,Sunday Jul 31,boxscore,SEA,@,HOU,L-wo,2,3,10,55-48,2,12.0,Neris,Bernardino,,3:08,D,35773,1.04,-,
104,Monday Aug 1,boxscore,SEA,@,NYY,L,2,7,,55-49,2,12.0,Germán,Gonzales,,2:58,N,36731,.99,--,
105,Tuesday Aug 2,boxscore,SEA,@,NYY,W,8,6,,56-49,2,11.0,Murfee,Luetge,Muñoz,3:43,N,38735,1.00,+,
106,Wednesday Aug 3,boxscore,SEA,@,NYY,W,7,3,,57-49,2,11.0,Castillo,Cole,,2:47,D,42169,1.01,++,
107,Friday Aug 5,boxscore,SEA,,LAA,L,3,4,10,57-50,2,12.5,Chavez,Sewald,Herget,3:36,N,42654,.99,-,
108,Saturday Aug 6 (1),boxscore,SEA,,LAA,W,2,1,,58-50,2,12.0,Kirby,Barria,Swanson,2:48,D,41507,.99,+,
109,Saturday Aug 6 (2),boxscore,SEA,,LAA,L,1,7,,58-51,2,12.0,Detmers,Flexen,,2:47,N,27065,1.03,-,
110,Sunday Aug 7,boxscore,SEA,,LAA,W,6,3,,59-51,2,11.0,Gonzales,Davidson,Sewald,2:54,D,34837,1.02,+,
111,Monday Aug 8,boxscore,SEA,,NYY,L,4,9,,59-52,2,11.5,Taillon,Gilbert,,3:24,N,35843,1.05,-,
112,Tuesday Aug 9,boxscore,SEA,,NYY,W-wo,1,0,13,60-52,2,11.5,Brash,Loáisiga,,4:07,N,38804,1.06,+,
113,Wednesday Aug 10,boxscore,SEA,,NYY,W,4,3,,61-52,2,10.5,Murfee,Abreu,Sewald,2:44,D,43280,1.04,++,
114,Friday Aug 12,boxscore,SEA,@,TEX,W,6,2,,62-52,2,11.0,Kirby,Hearn,,3:44,N,22622,1.02,+++,
115,Saturday Aug 13,boxscore,SEA,@,TEX,L,4,7,,62-53,2,12.0,Martin,Gonzales,Hernández,3:16,N,31621,.98,-,
116,Sunday Aug 14,boxscore,SEA,@,TEX,L,3,5,,62-54,2,13.0,Sborz,Brash,Leclerc,3:03,D,25560,1.03,--,
117,Monday Aug 15,boxscore,SEA,@,LAA,W,6,2,,63-54,2,12.0,Muñoz,Loup,,3:26,N,23096,1.05,+,
118,Tuesday Aug 16,boxscore,SEA,@,LAA,W,8,2,,64-54,2,11.0,Ray,Suarez,,3:04,N,20294,1.04,++,
119,Wednesday Aug 17,boxscore,SEA,@,LAA,W,11,7,,65-54,2,11.0,Kirby,Toussaint,,3:14,D,19550,1.00,+++,
120,Friday Aug 19,boxscore,SEA,@,OAK,W,10,2,,66-54,2,10.5,Gonzales,Irvin,,2:44,N,16912,.96,++++,
121,Saturday Aug 20,boxscore,SEA,@,OAK,L-wo,3,4,10,66-55,2,10.5,Jiménez,Castillo,,3:19,D,9626,.93,-,
122,Sunday Aug 21,boxscore,SEA,@,OAK,L,3,5,,66-56,2,11.5,Sears,Castillo,Pruitt,3:28,D,9314,.98,--,
123,Tuesday Aug 23,boxscore,SEA,,WSN,W,4,2,,67-56,2,11.5,Ray,Fedde,Sewald,2:48,N,38254,1.04,+,
124,Wednesday Aug 24,boxscore,SEA,,WSN,L,1,3,,67-57,2,12.5,Finnegan,Sewald,,2:57,D,21035,.97,-,
125,Thursday Aug 25,boxscore,SEA,,CLE,W,3,1,,68-57,2,12.5,Gonzales,McKenzie,Muñoz,2:46,D,24028,1.08,+,
126,Friday Aug 26,boxscore,SEA,,CLE,W-wo,3,2,11,69-57,2,11.5,Murfee,Clase,,3:29,N,39870,.99,++,
127,Saturday Aug 27,boxscore,SEA,,CLE,L,3,4,,69-58,2,11.5,Plesac,Muñoz,Clase,2:48,N,45586,.98,-,
128,Sunday Aug 28,boxscore,SEA,,CLE,W,4,0,,70-58,2,11.5,Ray,Civale,,2:31,D,45190,1.06,+,
129,Tuesday Aug 30,boxscore,SEA,@,DET,W,9,3,,71-58,2,11.5,Kirby,Manning,Flexen,2:53,N,12536,.94,++,
130,Wednesday Aug 31,boxscore,SEA,@,DET,W,5,3,,72-58,2,11.5,Gonzales,Lange,Sewald,3:00,N,13666,.85,+++,
131,Thursday Sep 1,boxscore,SEA,@,DET,W,7,0,,73-58,2,11.0,Gilbert,Rodriguez,,2:47,D,14393,.75,++++,
132,Friday Sep 2,boxscore,SEA,@,CLE,W,6,1,,74-58,2,11.0,Castillo,Morris,,2:57,N,21923,.71,+++++,
