Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
93,Friday Jul 22,boxscore,KCR,,TBR,L,3,7,,36-57,5,13.5,Rasmussen,Keller,,3:21,N,22119,.02,----,
94,Saturday Jul 23,boxscore,KCR,,TBR,W,6,3,,37-57,5,13.5,Barlow,Yarbrough,,2:58,N,20668,.02,+,
95,Sunday Jul 24,boxscore,KCR,,TBR,W,4,2,,38-57,4,13.5,Bubic,Raley,Clarke,2:50,D,12336,.02,++,
96,Monday Jul 25,boxscore,KCR,,LAA,W,7,0,,39-57,4,13.0,Garrett,Syndergaard,,3:03,N,16616,.03,+++,
97,Tuesday Jul 26,boxscore,KCR,,LAA,L,0,6,,39-58,4,13.0,Suarez,Zerpa,,3:24,N,20834,.04,-,
98,Wednesday Jul 27,boxscore,KCR,,LAA,L,0,4,,39-59,5,13.0,Junk,Keller,,2:48,D,12596,.03,--,
99,Thursday Jul 28,boxscore,KCR,@,NYY,L-wo,0,1,,39-60,5,13.5,Holmes,Barlow,,2:38,N,43836,.02,---,
100,Friday Jul 29,boxscore,KCR,@,NYY,L,5,11,,39-61,5,13.5,Abreu,Barlow,,3:12,N,42481,.01,----,
101,Saturday Jul 30,boxscore,KCR,@,NYY,L,2,8,,39-62,5,14.5,Cortes,Heasley,Schmidt,3:20,D,44081,.01,-----,
102,Sunday Jul 31,boxscore,KCR,@,NYY,W,8,6,,40-62,5,13.5,Clarke,Holmes,,4:00,D,45341,.01,+,
103,Monday Aug 1,boxscore,KCR,@,CHW,W,2,1,,41-62,4,13.5,Lynch,Kopech,Barlow,2:55,N,17500,.01,++,
104,Tuesday Aug 2,boxscore,KCR,@,CHW,L,2,9,,41-63,5,13.5,Giolito,Keller,,2:52,N,24361,.01,-,
105,Wednesday Aug 3,boxscore,KCR,@,CHW,L,1,4,,41-64,5,14.5,Lynn,Singer,Hendriks,2:35,D,19753,.01,--,
106,Thursday Aug 4,boxscore,KCR,,BOS,W,7,3,,42-64,4,13.5,Clarke,Hernandez,,3:04,N,18970,.00,+,
107,Friday Aug 5,boxscore,KCR,,BOS,L,4,7,,42-65,4,14.5,Winckowski,Greinke,,3:44,N,21246,.01,-,
108,Saturday Aug 6,boxscore,KCR,,BOS,W-wo,5,4,,43-65,4,14.5,Coleman,Whitlock,,2:44,N,19136,.00,+,
109,Sunday Aug 7,boxscore,KCR,,BOS,W,13,5,,44-65,4,13.5,Keller,Crawford,,3:00,D,14949,.01,++,
110,Tuesday Aug 9 (1),boxscore,KCR,,CHW,W,4,2,,45-65,4,13.0,Singer,Lynn,Cuas,2:36,D,,.00,+++,
111,Tuesday Aug 9 (2),boxscore,KCR,,CHW,L,2,3,,45-66,4,13.0,Martin,Heasley,Hendriks,2:54,D,12700,.01,-,
112,Wednesday Aug 10,boxscore,KCR,,CHW,W,8,3,,46-66,4,13.0,Staumont,Diekman,,3:19,N,15463,.00,+,
113,Thursday Aug 11,boxscore,KCR,,CHW,W,5,3,,47-66,4,13.0,Greinke,Cease,Barlow,3:11,D,10009,.01,++,
114,Friday Aug 12,boxscore,KCR,,LAD,L,3,8,,47-67,4,14.0,Gonsolin,Staumont,,3:12,N,24333,.00,-,
115,Saturday Aug 13,boxscore,KCR,,LAD,L,3,13,,47-68,4,14.0,Bickford,Keller,,3:05,N,29689,.00,--,
116,Sunday Aug 14,boxscore,KCR,,LAD,W,4,0,,48-68,4,14.0,Singer,Anderson,Barlow,2:49,D,18481,.01,+,
117,Monday Aug 15,boxscore,KCR,@,MIN,L,2,4,,48-69,4,14.5,Ryan,Bubic,López,2:57,N,22003,.00,-,
118,Tuesday Aug 16,boxscore,KCR,@,MIN,L,0,9,,48-70,4,14.5,Gray,Greinke,,3:01,N,23093,.00,--,
119,Wednesday Aug 17,boxscore,KCR,@,MIN,L,0,4,,48-71,4,15.5,Pagán,Lynch,,2:49,D,23543,.00,---,
120,Thursday Aug 18,boxscore,KCR,@,TBR,L,1,7,,48-72,4,16.0,Patiño,Castillo,,2:48,N,8168,.00,----,
121,Friday Aug 19,boxscore,KCR,@,TBR,W,3,2,10,49-72,4,16.0,Barlow,Beeks,,2:48,N,10049,.00,+,
122,Saturday Aug 20,boxscore,KCR,@,TBR,L,2,5,,49-73,4,16.0,Rasmussen,Bubic,Fairbanks,2:50,D,19800,.00,-,
123,Sunday Aug 21,boxscore,KCR,@,TBR,L,2,3,,49-74,4,16.5,Armstrong,Cuas,Fairbanks,2:59,D,12940,.00,--,
124,Monday Aug 22,boxscore,KCR,,CHW,W,6,4,,50-74,4,16.0,Garrett,Kelly,Barlow,3:36,D,8471,.00,+,
125,Tuesday Aug 23,boxscore,KCR,,ARI,L,3,7,,50-75,4,17.0,Mantiply,Staumont,,3:29,N,12427,.00,-,
126,Wednesday Aug 24,boxscore,KCR,,ARI,W,5,3,,51-75,4,17.0,Singer,Ramirez,,2:59,N,10531,.00,+,
127,Friday Aug 26,boxscore,KCR,,SDP,L,5,13,,51-76,4,16.5,Suarez,Bubic,,3:37,N,16479,.00,-,
128,Saturday Aug 27,boxscore,KCR,,SDP,L,3,4,,51-77,4,17.5,Darvish,Lynch,Martinez,2:59,N,22232,.00,--,
129,Sunday Aug 28,boxscore,KCR,,SDP,W,15,7,,52-77,4,16.5,Heasley,Manaea,,4:00,D,12584,.00,+,
130,Tuesday Aug 30,boxscore,KCR,@,CHW,W,9,7,,53-77,4,16.5,Cuas,Giolito,,3:21,N,17130,.00,++,
131,Wednesday Aug 31,boxscore,KCR,@,CHW,L,2,4,,53-78,4,16.5,Lynn,Bubic,Hendriks,2:43,N,17168,.00,-,
132,Thursday Sep 1,boxscore,KCR,@,CHW,L,1,7,,53-79,4,16.5,Cueto,Mengden,,3:22,D,15257,.00,--,
133,Friday Sep 2,boxscore,KCR,@,DET,L,4,5,,53-80,4,16.5,Chafin,Hernández,Soto,3:00,N,16067,.00,---,
134,Saturday Sep 3,boxscore,KCR,@,DET,W,12,2,,54-80,4,15.5,Heasley,Pineda,,2:59,N,15259,.00,+,
135,Sunday Sep 4,boxscore,KCR,@,DET,W,3,2,,55-80,4,14.5,Coleman,Soto,Barlow,3:39,D,15206,.00,++,
136,Monday Sep 5,boxscore,KCR,,CLE,L,5,6,10,55-81,4,15.5,Morgan,Hernández,Clase,3:17,N,11511,.00,-,
137,Tuesday Sep 6,boxscore,KCR,,CLE,L,1,4,,55-82,4,16.5,Bieber,Bubic,Karinchak,2:32,N,12580,.00,--,
138,Wednesday Sep 7,boxscore,KCR,,CLE,W-wo,2,1,,56-82,4,15.5,Barlow,Clase,,3:12,N,13394,.00,+,
139,Friday Sep 9,boxscore,KCR,,DET,L,2,10,,56-83,4,16.5,Wentz,Lynch,,3:05,N,14556,.00,-,
140,Saturday Sep 10,boxscore,KCR,,DET,L,4,8,8,56-84,4,17.5,Manning,Heasley,,2:38,D,15929,.00,--,
141,Sunday Sep 11,boxscore,KCR,,DET,W,4,0,,57-84,4,17.5,Singer,Alexander,,2:11,D,13150,.00,+,
142,Tuesday Sep 13,boxscore,KCR,@,MIN,L,3,6,,57-85,4,19.0,Ryan,Bubic,,2:43,N,19005,.00,-,
143,Wednesday Sep 14,boxscore,KCR,@,MIN,L,0,4,,57-86,4,20.0,Gray,Greinke,,2:43,N,14927,.00,--,
144,Thursday Sep 15,boxscore,KCR,@,MIN,L,2,3,,57-87,4,20.0,Megill,Lynch,Duran,2:49,N,16595,.00,---,
145,Friday Sep 16,boxscore,KCR,@,BOS,L,1,2,,57-88,4,21.0,Whitlock,Coleman,Strahm,2:38,N,33181,.00,----,
146,Saturday Sep 17,boxscore,KCR,@,BOS,W,9,0,,58-88,4,21.5,Singer,Hill,,2:39,D,34925,.00,+,
147,Sunday Sep 18,boxscore,KCR,@,BOS,L,3,13,,58-89,4,21.5,Pivetta,Bubic,,3:32,D,31199,.00,-,
148,Tuesday Sep 20,boxscore,KCR,,MIN,W,5,4,,59-89,4,22.0,Coleman,Fulmer,Barlow,2:58,N,14508,.00,+,
149,Wednesday Sep 21,boxscore,KCR,,MIN,W,5,2,,60-89,4,22.0,Misiewicz,Ober,Barlow,2:56,N,13952,.00,++,
150,Thursday Sep 22,boxscore,KCR,,MIN,W,4,1,,61-89,4,22.0,Heasley,Winder,Keller,2:34,D,12951,.00,+++,
151,Friday Sep 23,boxscore,KCR,,SEA,W,5,1,,62-89,4,22.0,Singer,Gonzales,,2:29,N,13615,.00,++++,
152,Saturday Sep 24,boxscore,KCR,,SEA,L,5,6,,62-90,4,23.0,Sewald,Keller,Muñoz,3:25,N,25237,.00,-,
153,Sunday Sep 25,boxscore,KCR,,SEA,W,13,12,,63-90,4,23.0,Cuas,Swanson,Barlow,3:43,D,18350,.00,+,
154,Tuesday Sep 27,boxscore,KCR,@,DET,L-wo,3,4,10,63-91,4,23.0,Lange,Misiewicz,,3:00,N,13334,.00,-,
155,Wednesday Sep 28,boxscore,KCR,@,DET,L,1,2,,63-92,4,24.0,Norris,Lynch,Soto,2:50,N,12610,.00,--,
156,Thursday Sep 29,boxscore,KCR,@,DET,L,3,10,,63-93,5,25.0,Rodriguez,Heasley,,3:03,D,13137,.00,---,
157,Friday Sep 30,boxscore,KCR,@,CLE,L,3,6,,63-94,5,26.0,Civale,Singer,Clase,2:27,N,19753,.00,----,
158,Saturday Oct 1,boxscore,KCR,@,CLE,W,7,1,,64-94,5,25.0,Bubic,Plesac,,3:21,N,26982,.00,+,
159,Sunday Oct 2,boxscore,KCR,@,CLE,L,5,7,,64-95,5,26.0,Bieber,Castillo,Clase,3:00,D,20622,.00,-,
160,Monday Oct 3,boxscore,KCR,@,CLE,W,5,2,10,65-95,5,25.0,Barlow,McCarty,Clarke,3:02,N,18688,.00,+,
161,Tuesday Oct 4,boxscore,KCR,@,CLE,L,3,5,,65-96,5,26.0,Quantrill,Lynch,Clase,2:33,N,19455,.00,-,
162,Wednesday Oct 5,boxscore,KCR,@,CLE,L,2,9,,65-97,5,27.0,Civale,Heasley,,2:39,D,12983,.00,--,
