Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
109,Saturday Aug 6 (2),boxscore,ATL,@,NYM,L,2,6,,64-45,2,5.5,Scherzer,Fried,,3:02,N,37452,1.25,--,
110,Sunday Aug 7,boxscore,ATL,@,NYM,L,2,5,,64-46,2,6.5,deGrom,Strider,Díaz,2:58,D,37717,1.14,---,
111,Tuesday Aug 9,boxscore,ATL,@,BOS,W,9,7,11,65-46,2,7.0,Lee,Ort,Matzek,4:13,N,34972,.76,+,
112,Wednesday Aug 10,boxscore,ATL,@,BOS,W,8,4,,66-46,2,7.0,Wright,Pivetta,,3:06,N,35406,.71,++,
113,Friday Aug 12,boxscore,ATL,@,MIA,W,4,3,,67-46,2,6.0,Matzek,Hernandez,Jansen,3:37,N,10459,.65,+++,
114,Saturday Aug 13 (1),boxscore,ATL,@,MIA,W,5,2,,68-46,2,5.5,Muller,Luzardo,Jansen,3:01,D,7308,.73,++++,
115,Saturday Aug 13 (2),boxscore,ATL,@,MIA,W,6,2,,69-46,2,5.5,Anderson,Nance,Iglesias,3:12,N,11910,.71,+++++,
116,Sunday Aug 14,boxscore,ATL,@,MIA,W,3,1,,70-46,2,5.5,Matzek,Scott,Jansen,3:08,D,10902,.69,++++++,
117,Monday Aug 15,boxscore,ATL,,NYM,W,13,1,,71-46,2,4.5,Strider,Carrasco,,3:18,N,38380,1.06,+++++++,
118,Tuesday Aug 16,boxscore,ATL,,NYM,W,5,0,,72-46,2,3.5,Morton,Alvarez,,2:51,N,37449,1.25,++++++++,
119,Wednesday Aug 17,boxscore,ATL,,NYM,L,7,9,,72-47,2,4.5,Scherzer,Odorizzi,,3:22,N,34308,1.39,-,
120,Thursday Aug 18,boxscore,ATL,,NYM,W,3,2,,73-47,2,3.5,Fried,deGrom,Jansen,2:41,N,39378,1.20,+,
121,Friday Aug 19,boxscore,ATL,,HOU,W,6,2,,74-47,2,3.5,Wright,McCullers,,3:04,N,42837,.84,++,
122,Saturday Aug 20,boxscore,ATL,,HOU,W-wo,5,4,11,75-47,2,3.0,Stephens,Stanek,,3:59,N,42893,.77,+++,
123,Sunday Aug 21,boxscore,ATL,,HOU,L,4,5,,75-48,2,4.0,Urquidy,Lee,Pressly,3:11,D,42531,.80,-,
124,Monday Aug 22,boxscore,ATL,@,PIT,W,2,1,,76-48,2,3.0,Odorizzi,Contreras,Jansen,2:40,N,11231,.67,+,
125,Tuesday Aug 23,boxscore,ATL,@,PIT,W,6,1,,77-48,2,2.0,Fried,Brubaker,,2:15,N,13367,.80,++,
126,Wednesday Aug 24,boxscore,ATL,@,PIT,W,14,2,,78-48,2,1.5,Wright,Keller,,3:08,D,12060,.82,+++,
127,Friday Aug 26,boxscore,ATL,@,STL,W,11,4,,79-48,2,2.0,Strider,Quintana,,3:43,N,46027,.88,++++,
