Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
93,Saturday Jul 23,boxscore,CIN,,STL,L,3,6,,35-58,5,16.0,Matz,Minor,Helsley,3:27,N,27190,.02,-,
94,Sunday Jul 24,boxscore,CIN,,STL,W,6,3,,36-58,5,16.0,Mahle,Mikolas,Strickland,2:44,D,18813,.01,+,
95,Monday Jul 25,boxscore,CIN,,MIA,W,11,2,,37-58,5,15.0,Lodolo,Rogers,,3:16,N,12948,.01,++,
96,Tuesday Jul 26,boxscore,CIN,,MIA,L,1,2,,37-59,5,16.0,López,Greene,Scott,2:45,N,14937,.02,-,
97,Wednesday Jul 27,boxscore,CIN,,MIA,W,5,3,,38-59,5,16.0,Castillo,Garrett,Strickland,2:32,N,11387,.01,+,
98,Thursday Jul 28,boxscore,CIN,,MIA,L,6,7,,38-60,5,16.5,Pop,Strickland,Scott,3:40,D,14506,.01,-,
99,Friday Jul 29,boxscore,CIN,,BAL,L,2,6,,38-61,5,17.5,Tate,Farmer,,3:29,N,23658,.01,--,
100,Saturday Jul 30,boxscore,CIN,,BAL,W,8,2,,39-61,5,17.5,Mahle,Kremer,,2:54,N,29104,.01,+,
101,Sunday Jul 31,boxscore,CIN,,BAL,W,3,2,,40-61,4,16.5,Díaz,Bautista,Farmer,3:22,D,20496,.00,++,
102,Monday Aug 1,boxscore,CIN,@,MIA,W,3,1,,41-61,4,16.0,Greene,Luzardo,Strickland,2:55,N,7701,.01,+++,
103,Tuesday Aug 2,boxscore,CIN,@,MIA,W,2,1,,42-61,3,15.0,Ashcraft,Garrett,Díaz,2:46,N,8188,.01,++++,
104,Wednesday Aug 3,boxscore,CIN,@,MIA,L,0,3,,42-62,3,15.0,Alcantara,Minor,,2:09,N,8656,.01,-,
105,Friday Aug 5,boxscore,CIN,@,MIL,L,1,5,,42-63,4,15.5,Lauer,Dugger,Williams,3:14,N,33239,.01,--,
106,Saturday Aug 6,boxscore,CIN,@,MIL,W,7,5,,43-63,3,15.5,Farmer,Ashby,,3:30,N,35784,.00,+,
107,Sunday Aug 7,boxscore,CIN,@,MIL,W,4,2,10,44-63,3,15.5,Strickland,Williams,Detwiler,3:47,D,40063,.01,++,
108,Monday Aug 8,boxscore,CIN,@,NYM,L,1,5,,44-64,3,16.0,Bassitt,Dunn,,2:56,N,28448,.01,-,
109,Tuesday Aug 9,boxscore,CIN,@,NYM,L,2,6,,44-65,3,16.0,Carrasco,Minor,,2:59,N,30816,.00,--,
110,Wednesday Aug 10,boxscore,CIN,@,NYM,L,2,10,,44-66,5,17.0,Walker,Zeuch,,3:01,D,36883,.01,---,
111,Thursday Aug 11,boxscore,CIN,,CHC,L,2,4,,44-67,5,17.0,Smyly,Lodolo,Wick,3:21,N,7823,.00,----,
112,Saturday Aug 13,boxscore,CIN,,CHC,L,2,7,,44-68,4,17.5,Newcomb,Ashcraft,,3:20,N,33301,.00,-----,
113,Sunday Aug 14,boxscore,CIN,,CHC,W,8,5,,45-68,4,17.5,Kuhnel,Espinoza,Díaz,3:29,D,23959,.00,+,
