Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
118,Monday Aug 15,boxscore,SDP,@,MIA,L,0,3,,65-53,2,17.0,Alcantara,Musgrove,Scott,3:04,N,9123,.77,-,
119,Tuesday Aug 16,boxscore,SDP,@,MIA,L,3,4,,65-54,2,17.0,Hernandez,García,Floro,3:33,N,9065,.76,--,
120,Wednesday Aug 17,boxscore,SDP,@,MIA,W,10,3,,66-54,2,17.0,Morejón,López,,3:44,D,7273,.85,+,
121,Thursday Aug 18,boxscore,SDP,,WSN,L,1,3,,66-55,2,17.0,Edwards,Darvish,Finnegan,3:19,N,41820,.77,-,
122,Friday Aug 19,boxscore,SDP,,WSN,L,3,6,,66-56,2,18.0,Ramírez,Hader,Finnegan,3:46,N,39474,.85,--,
123,Saturday Aug 20,boxscore,SDP,,WSN,W,2,1,,67-56,2,18.0,Morejón,Cishek,García,3:18,N,42529,.85,+,
124,Sunday Aug 21,boxscore,SDP,,WSN,W,2,1,,68-56,2,18.0,Manaea,Corbin,Martinez,2:30,D,37040,.76,++,
125,Tuesday Aug 23,boxscore,SDP,,CLE,L,1,3,,68-57,2,18.5,Sandlin,Clevinger,Clase,3:20,N,38166,.82,-,
126,Wednesday Aug 24,boxscore,SDP,,CLE,L,0,7,,68-58,2,19.5,Quantrill,Snell,,3:02,D,30409,.85,--,
127,Friday Aug 26,boxscore,SDP,@,KCR,W,13,5,,69-58,2,19.5,Suarez,Bubic,,3:37,N,16479,.84,+,
128,Saturday Aug 27,boxscore,SDP,@,KCR,W,4,3,,70-58,2,18.5,Darvish,Lynch,Martinez,2:59,N,22232,.76,++,
129,Sunday Aug 28,boxscore,SDP,@,KCR,L,7,15,,70-59,2,19.5,Heasley,Manaea,,4:00,D,12584,.75,-,
130,Monday Aug 29,boxscore,SDP,@,SFG,W,6,5,,71-59,2,19.5,Clevinger,Rodón,Martinez,3:44,N,24815,.89,+,
131,Tuesday Aug 30,boxscore,SDP,@,SFG,W,4,3,,72-59,2,19.5,Snell,Webb,Martinez,3:35,N,28267,.82,++,
132,Wednesday Aug 31,boxscore,SDP,@,SFG,W,5,4,,73-59,2,18.5,Musgrove,Wood,Hader,3:13,D,25298,.70,+++,
133,Friday Sep 2,boxscore,SDP,@,LAD,W,7,1,,74-59,2,17.0,Darvish,May,,3:30,N,45164,.62,++++,
134,Saturday Sep 3,boxscore,SDP,@,LAD,L,1,12,,74-60,2,18.0,Urías,Manaea,,2:42,N,46144,.50,-,
135,Sunday Sep 4,boxscore,SDP,@,LAD,L,4,9,,74-61,2,19.0,Vesia,Clevinger,,4:08,D,48522,.60,--,
136,Monday Sep 5,boxscore,SDP,,ARI,L,0,5,,74-62,2,19.0,Nelson,Snell,,2:51,D,37713,.62,---,
137,Tuesday Sep 6,boxscore,SDP,,ARI,W-wo,6,5,,75-62,2,19.0,Martinez,Kennedy,,3:13,N,31380,.80,+,
