away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,losing_Team,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,winning_pitcher,summary,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Reid Detmers,N,,Top,,Globe Life Field,2022-05-18T00:05:00Z,108,2022-05-17,5325,9,Final,Los Angeles Angels,Taylor Hearn,Dennis Santana,2022-05-17 - Los Angeles Angels (5) @ Texas Rangers (10) (Final),R,5,Texas Rangers,661126,Texas Rangers,10,1,,140,Los Angeles Angels,TEX wins 2-0,Ryan Tepera,[]
,Shohei Ohtani,N,,Bottom,,Globe Life Field,2022-05-19T00:05:00Z,108,2022-05-18,5325,10,Final,Los Angeles Angels,Dane Dunning,Dennis Santana,2022-05-18 - Los Angeles Angels (5) @ Texas Rangers (6) (Final),R,5,Texas Rangers,661125,Texas Rangers,6,1,,140,Los Angeles Angels,TEX wins 3-0,Raisel Iglesias,[]
,Paul Blackburn,N,,Bottom,,Angel Stadium,2022-05-21T01:38:00Z,133,2022-05-20,1,9,Final,Oakland Athletics,Chase Silseth,Sam Moll,2022-05-20 - Oakland Athletics (4) @ Los Angeles Angels (2) (Final),R,4,Los Angeles Angels,663449,Oakland Athletics,2,1,Dany Jimenez,108,Los Angeles Angels,OAK leads 1-0,Chase Silseth,[]
,Frankie Montas,N,,Top,,Angel Stadium,2022-05-22T01:07:00Z,133,2022-05-21,1,9,Final,Oakland Athletics,Michael Lorenzen,Michael Lorenzen,2022-05-21 - Oakland Athletics (3) @ Los Angeles Angels (5) (Final),R,3,Los Angeles Angels,663448,Los Angeles Angels,5,1,Raisel Iglesias,108,Oakland Athletics,Series tied 1-1,Adam Kolarek,['FS1']
,Cole Irvin,N,,Top,,Angel Stadium,2022-05-22T20:07:00Z,133,2022-05-22,1,9,Final,Oakland Athletics,Patrick Sandoval,Patrick Sandoval,2022-05-22 - Oakland Athletics (1) @ Los Angeles Angels (4) (Final),R,1,Los Angeles Angels,663447,Los Angeles Angels,4,1,Raisel Iglesias,108,Oakland Athletics,LAA wins 2-1,Cole Irvin,[]
,Dane Dunning,N,,Top,,Angel Stadium,2022-05-25T01:38:00Z,140,2022-05-24,1,9,Final,Texas Rangers,Noah Syndergaard,Noah Syndergaard,2022-05-24 - Texas Rangers (3) @ Los Angeles Angels (5) (Final),R,3,Los Angeles Angels,663381,Los Angeles Angels,5,1,Raisel Iglesias,108,Texas Rangers,LAA leads 1-0,Dane Dunning,[]
,Glenn Otto,N,,Bottom,,Angel Stadium,2022-05-26T01:38:00Z,140,2022-05-25,1,9,Final,Texas Rangers,Reid Detmers,Glenn Otto,2022-05-25 - Texas Rangers (7) @ Los Angeles Angels (2) (Final),R,7,Los Angeles Angels,663446,Texas Rangers,2,1,,108,Los Angeles Angels,Series tied 1-1,Reid Detmers,[]
,Hyun Jin Ryu,N,,Bottom,,Angel Stadium,2022-05-27T01:38:00Z,141,2022-05-26,1,9,Final,Toronto Blue Jays,Shohei Ohtani,Hyun Jin Ryu,2022-05-26 - Toronto Blue Jays (6) @ Los Angeles Angels (3) (Final),R,6,Los Angeles Angels,663445,Toronto Blue Jays,3,1,,108,Los Angeles Angels,TOR leads 1-0,Shohei Ohtani,['MLBN (out-of-market only)']
,Alek Manoah,N,,Bottom,,Angel Stadium,2022-05-28T01:38:00Z,141,2022-05-27,1,9,Final,Toronto Blue Jays,Chase Silseth,Trevor Richards,2022-05-27 - Toronto Blue Jays (4) @ Los Angeles Angels (3) (Final),R,4,Los Angeles Angels,663444,Toronto Blue Jays,3,1,Jordan Romano,108,Los Angeles Angels,TOR leads 2-0,Raisel Iglesias,['Apple TV+']
,Yusei Kikuchi,N,,Bottom,,Angel Stadium,2022-05-29T02:07:00Z,141,2022-05-28,1,9,Final,Toronto Blue Jays,Michael Lorenzen,Adam Cimber,2022-05-28 - Toronto Blue Jays (6) @ Los Angeles Angels (5) (Final),R,6,Los Angeles Angels,663400,Toronto Blue Jays,5,1,Ross Stripling,108,Los Angeles Angels,TOR wins 3-0,Kyle Barraclough,['MLBN (out-of-market only)']
,Jose Berrios,N,,Bottom,,Angel Stadium,2022-05-29T20:07:00Z,141,2022-05-29,1,9,Final,Toronto Blue Jays,Patrick Sandoval,Adam Cimber,2022-05-29 - Toronto Blue Jays (11) @ Los Angeles Angels (10) (Final),R,11,Los Angeles Angels,663414,Toronto Blue Jays,10,1,David Phelps,108,Los Angeles Angels,TOR wins 4-0,Jose Quijada,[]
,Noah Syndergaard,N,,Top,,Yankee Stadium,2022-05-31T23:05:00Z,108,2022-05-31,3313,9,Final,Los Angeles Angels,Jordan Montgomery,Jordan Montgomery,2022-05-31 - Los Angeles Angels (1) @ New York Yankees (9) (Final),R,1,New York Yankees,661331,New York Yankees,9,1,,147,Los Angeles Angels,NYY leads 1-0,Noah Syndergaard,['TBS (out-of-market only)']
,Reid Detmers,N,,,,Yankee Stadium,2022-06-01T23:05:00Z,108,2022-06-01,3313,,Postponed,Los Angeles Angels,Nestor Cortes,,2022-06-01 - Los Angeles Angels @ New York Yankees (Postponed),R,0,New York Yankees,661330,,0,1,,147,,NYY wins 2-0,,['MLBN (out-of-market only)']
,Shohei Ohtani,S,,Top,,Yankee Stadium,2022-06-02T17:05:00Z,108,2022-06-02,3313,9,Final,Los Angeles Angels,Nestor Cortes,Nestor Cortes,2022-06-02 - Los Angeles Angels (1) @ New York Yankees (6) (Final),R,1,New York Yankees,661330,New York Yankees,6,1,Wandy Peralta,147,Los Angeles Angels,NYY wins 2-0,Shohei Ohtani,['MLBN (out-of-market only)']
,Reid Detmers,S,,Top,,Yankee Stadium,2022-06-02T23:05:00Z,108,2022-06-02,3313,9,Final,Los Angeles Angels,Jameson Taillon,Jameson Taillon,2022-06-02 - Los Angeles Angels (1) @ New York Yankees (2) (Final),R,1,New York Yankees,661329,New York Yankees,2,2,Clay Holmes,147,Los Angeles Angels,NYY wins 3-0,Oliver Ortega,['MLBN (out-of-market only)']
,Chase Silseth,N,,Top,,Citizens Bank Park,2022-06-03T23:05:00Z,108,2022-06-03,2681,9,Final,Los Angeles Angels,Zach Eflin,Zach Eflin,2022-06-03 - Los Angeles Angels (0) @ Philadelphia Phillies (10) (Final),R,0,Philadelphia Phillies,661642,Philadelphia Phillies,10,1,,143,Los Angeles Angels,PHI leads 1-0,Chase Silseth,[]
,Michael Lorenzen,N,,Top,,Citizens Bank Park,2022-06-04T23:15:00Z,108,2022-06-04,2681,9,Final,Los Angeles Angels,Zack Wheeler,Zack Wheeler,2022-06-04 - Los Angeles Angels (2) @ Philadelphia Phillies (7) (Final),R,2,Philadelphia Phillies,661615,Philadelphia Phillies,7,1,,143,Los Angeles Angels,PHI wins 2-0,Michael Lorenzen,['FOX']
