away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,winning_pitcher,summary,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Dallas Keuchel,N,,Bottom,Fenway Park,2022-05-08T15:35:00Z,145,2022-05-08,3,9,Final,Chicago White Sox,Tanner Houck,Dallas Keuchel,2022-05-08 - Chicago White Sox (3) @ Boston Red Sox (2) (Final),R,3,Boston Red Sox,663278,Chicago White Sox,2,1,Bennett Sousa,111,Boston Red Sox,CWS wins 3-0,Tanner Houck,"['Peacock', 'NBC']"
,Zach Plesac,N,,Bottom,Guaranteed Rate Field,2022-05-10T00:10:00Z,114,2022-05-09,4,11,Final,Cleveland Guardians,Michael Kopech,Emmanuel Clase,2022-05-09 - Cleveland Guardians (12) @ Chicago White Sox (9) (Final),R,12,Chicago White Sox,661525,Cleveland Guardians,9,1,Trevor Stephan,145,Chicago White Sox,CLE leads 1-0,Ryan Burr,['MLBN (out-of-market only)']
,Cal Quantrill,N,,Top,Guaranteed Rate Field,2022-05-11T00:10:00Z,114,2022-05-10,4,9,Final,Cleveland Guardians,Lucas Giolito,Lucas Giolito,2022-05-10 - Cleveland Guardians (1) @ Chicago White Sox (4) (Final),R,1,Chicago White Sox,661524,Chicago White Sox,4,1,Kendall Graveman,145,Cleveland Guardians,Series tied 1-1,Cal Quantrill,[]
,Aaron Civale,N,,,Guaranteed Rate Field,2022-05-11T18:10:00Z,114,2022-05-11,4,,Postponed,Cleveland Guardians,Vince Velasquez,,2022-05-11 - Cleveland Guardians @ Chicago White Sox (Postponed),R,0,Chicago White Sox,661523,,0,1,,145,,CLE leads 2-0,,['MLBN (out-of-market only)']
,Luis Gil,N,,Bottom,Guaranteed Rate Field,2022-05-13T00:10:00Z,147,2022-05-12,4,9,Final,New York Yankees,Dylan Cease,Jonathan Loaisiga,2022-05-12 - New York Yankees (15) @ Chicago White Sox (7) (Final),R,15,Chicago White Sox,661519,New York Yankees,7,1,,145,Chicago White Sox,NYY leads 1-0,Joe Kelly,['MLBN (out-of-market only)']
,Gerrit Cole,N,,Bottom,Guaranteed Rate Field,2022-05-14T00:10:00Z,147,2022-05-13,4,9,Final,New York Yankees,Vince Velasquez,Gerrit Cole,2022-05-13 - New York Yankees (10) @ Chicago White Sox (4) (Final),R,10,Chicago White Sox,661491,New York Yankees,4,1,,145,Chicago White Sox,NYY leads 2-0,Vince Velasquez,[]
,Jordan Montgomery,N,,Bottom,Guaranteed Rate Field,2022-05-14T23:10:00Z,147,2022-05-14,4,9,Final,New York Yankees,Dallas Keuchel,Liam Hendriks,2022-05-14 - New York Yankees (2) @ Chicago White Sox (3) (Final),R,2,Chicago White Sox,661490,Chicago White Sox,3,1,,145,New York Yankees,NYY leads 2-1,Aroldis Chapman,['MLBN (out-of-market only)']
,Nestor Cortes,N,,Bottom,Guaranteed Rate Field,2022-05-15T18:10:00Z,147,2022-05-15,4,9,Final,New York Yankees,Michael Kopech,Nestor Cortes,2022-05-15 - New York Yankees (5) @ Chicago White Sox (1) (Final),R,5,Chicago White Sox,661489,New York Yankees,1,1,,145,Chicago White Sox,NYY wins 3-1,Michael Kopech,[]
,Johnny Cueto,N,,Bottom,Kauffman Stadium,2022-05-17T00:10:00Z,145,2022-05-16,7,10,Final,Chicago White Sox,Brad Keller,Ryan Burr,2022-05-16 - Chicago White Sox (5) @ Kansas City Royals (3) (Final),R,5,Kansas City Royals,662728,Chicago White Sox,3,1,Liam Hendriks,118,Kansas City Royals,CWS leads 1-0,Scott Barlow,[]
,Dylan Cease,S,,Bottom,Kauffman Stadium,2022-05-17T18:10:00Z,145,2022-05-17,7,9,Final,Chicago White Sox,Jonathan Heasley,Dylan Cease,2022-05-17 - Chicago White Sox (3) @ Kansas City Royals (0) (Final),R,3,Kansas City Royals,662780,Chicago White Sox,0,1,Liam Hendriks,118,Kansas City Royals,CWS leads 2-0,Jonathan Heasley,[]
,Davis Martin,S,,Top,Kauffman Stadium,2022-05-17T23:10:00Z,145,2022-05-17,7,9,Final,Chicago White Sox,Brady Singer,Brady Singer,2022-05-17 - Chicago White Sox (1) @ Kansas City Royals (2) (Final),R,1,Kansas City Royals,662727,Kansas City Royals,2,2,Josh Staumont,118,Chicago White Sox,CWS leads 2-1,Davis Martin,[]
,Lucas Giolito,N,,Top,Kauffman Stadium,2022-05-19T00:10:00Z,145,2022-05-18,7,9,Final,Chicago White Sox,Zack Greinke,Collin Snider,2022-05-18 - Chicago White Sox (2) @ Kansas City Royals (6) (Final),R,2,Kansas City Royals,662726,Kansas City Royals,6,1,,118,Chicago White Sox,Series tied 2-2,Reynaldo Lopez,[]
,Vince Velasquez,N,,Bottom,Kauffman Stadium,2022-05-19T18:10:00Z,145,2022-05-19,7,9,Final,Chicago White Sox,Carlos Hernandez,Bennett Sousa,2022-05-19 - Chicago White Sox (7) @ Kansas City Royals (4) (Final),R,7,Kansas City Royals,662715,Chicago White Sox,4,1,Liam Hendriks,118,Kansas City Royals,CWS wins 3-2,Gabe Speier,[]
,Dallas Keuchel,N,,,Yankee Stadium,2022-05-20T23:05:00Z,145,2022-05-20,3313,,Postponed,Chicago White Sox,Nestor Cortes,,2022-05-20 - Chicago White Sox @ New York Yankees (Postponed),R,0,New York Yankees,661290,,0,1,,147,,CWS wins 2-1,,['ESPN']
,Dallas Keuchel,N,,Top,Yankee Stadium,2022-05-21T17:05:00Z,145,2022-05-21,3313,9,Final,Chicago White Sox,Nestor Cortes,Nestor Cortes,2022-05-21 - Chicago White Sox (5) @ New York Yankees (7) (Final),R,5,New York Yankees,661289,New York Yankees,7,1,Clay Holmes,147,Chicago White Sox,NYY leads 1-0,Dallas Keuchel,['MLBN (out-of-market only)']
,Johnny Cueto,Y,,Bottom,Yankee Stadium,2022-05-22T19:05:00Z,145,2022-05-22,3313,9,Final,Chicago White Sox,Jameson Taillon,Kendall Graveman,2022-05-22 - Chicago White Sox (3) @ New York Yankees (1) (Final),R,3,New York Yankees,661288,Chicago White Sox,1,1,Liam Hendriks,147,New York Yankees,Series tied 1-1,Aroldis Chapman,[]
,Michael Kopech,Y,,Bottom,Yankee Stadium,2022-05-22T23:08:00Z,145,2022-05-22,3313,9,Final,Chicago White Sox,Luis Severino,Michael Kopech,2022-05-22 - Chicago White Sox (5) @ New York Yankees (0) (Final),R,5,New York Yankees,661290,Chicago White Sox,0,2,,147,New York Yankees,CWS wins 2-1,Jonathan Loaisiga,['ESPN']
